,Description,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Calories
3038,Pine nuts,13.08,13.69,68.37,722.41
3039,"Pistachio nuts, NFS",28.28,21.05,45.82,609.7
3040,"Pistachio nuts, salted",27.16,20.22,46.98,612.34
3041,"Pistachio nuts, lightly salted",27.3,20.32,47.21,615.37
3042,"Pistachio nuts, unsalted",27.43,20.42,47.44,618.36
3043,"Walnuts, excluding honey roasted",13.71,15.23,65.21,702.65
3044,"Walnuts, honey roasted",30.93,10.25,53.87,649.55
3045,Almond butter,18.82,20.96,55.5,658.62
3046,"Almond butter, lower sodium",18.82,20.96,55.5,658.62
3047,Almond paste,47.81,9.0,27.74,476.9
3048,Cashew butter,30.3,12.12,53.03,646.95
3049,Peanut butter,22.3,22.5,51.1,639.1
3050,"Peanut butter, lower sodium",22.31,22.21,51.36,640.32
3051,"Peanut butter, lower sodium and lower sugar",18.27,23.5,53.12,645.16
3052,"Peanut butter, lower sugar",14.23,24.8,54.89,650.13
3053,"Peanut butter, reduced fat",35.65,25.9,34.0,552.2
3054,"Peanut butter, vitamin and mineral fortified",18.75,25.72,50.81,635.17
3055,Peanut butter and jelly,46.12,11.32,25.56,459.8
3056,Peanut butter and chocolate spread,42.75,11.8,34.35,527.35
3057,Soy nut butter,18.82,20.96,55.5,658.62
3058,Peanut sauce,22.02,6.31,16.02,257.5
3059,"Gravy, vegetarian",9.19,3.81,9.96,141.64
3060,"Peanut butter sandwich, NFS",39.84,13.98,20.11,396.27
3061,"Peanut butter sandwich, with regular peanut butter, on white bread",39.84,13.98,20.11,396.27
3062,"Peanut butter sandwich, with regular peanut butter, on wheat bread",37.38,15.26,20.37,393.89
3063,"Peanut butter sandwich, with regular peanut butter, on whole wheat bread",37.38,15.26,20.37,393.89
3064,"Peanut butter sandwich, with reduced fat peanut butter, on white bread",44.49,15.16,14.17,366.13
3065,"Peanut butter sandwich, with reduced fat peanut butter, on wheat bread",42.02,16.44,14.42,363.62
3066,"Peanut butter sandwich, with reduced fat peanut butter, on whole wheat bread",42.02,16.44,14.42,363.62
3067,"Peanut butter and jelly sandwich, NFS",45.22,11.51,16.53,375.69
3068,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread",45.22,11.51,16.53,375.69
3069,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread",43.2,12.56,16.73,373.61
3070,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on whole wheat bread",43.2,12.56,16.73,373.61
3071,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on white bread",49.03,12.48,11.64,350.8
3072,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on wheat bread",47.01,13.53,11.85,348.81
3073,"Peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on whole wheat bread",47.01,13.53,11.85,348.81
3074,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on white bread",39.44,11.48,16.54,352.54
3075,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on wheat bread",37.42,12.54,16.75,350.59
3076,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on whole wheat bread",37.42,12.54,16.75,350.59
3077,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on white bread",43.26,12.45,11.66,327.78
3078,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on wheat bread",41.23,13.51,11.86,325.7
3079,"Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on whole wheat bread",41.23,13.51,11.86,325.7
3080,"Peanut butter and jelly sandwich, frozen commercial product without crusts",45.22,11.51,16.53,375.69
3081,"Coconut milk, used in cooking",5.54,2.29,23.84,245.88
3082,"Yogurt, coconut milk",7.95,0.31,3.5,64.54
3083,"Coconut cream, canned, sweetened",53.21,1.17,16.31,364.31
3084,"Coconut water, unsweetened",4.24,0.22,0.0,17.84
3085,"Coconut water, sweetened",9.07,0.21,0.02,37.3
3086,"Trail mix, NFS",51.12,10.9,26.74,488.74
3087,Trail mix with nuts,21.18,20.06,52.82,640.34
3088,Trail mix with nuts and fruit,51.12,10.9,26.74,488.74
3089,Trail mix with chocolate,48.32,11.65,32.17,529.41
3090,"Trail mix with pretzels, cereal, or granola",50.65,13.09,27.58,503.18
3091,"Pumpkin seeds, NFS",14.71,29.84,49.05,619.65
3092,"Pumpkin seeds, salted",14.54,29.49,48.47,612.35
3093,"Pumpkin seeds, unsalted",14.71,29.84,49.05,619.65
3094,"Sunflower seeds, plain, unsalted",24.07,19.33,49.8,621.8
3095,"Sunflower seeds, plain, salted",23.78,19.1,49.21,614.41
3096,"Sunflower seeds, flavored",25.92,18.45,47.56,605.52
3097,"Sunflower seeds, NFS",24.07,19.33,49.8,621.8
3098,Sesame seeds,11.73,20.45,61.21,679.61
3099,Tahini,21.19,17.0,53.76,636.6
3100,Flax seeds,28.88,18.29,42.16,568.12
3101,Mixed seeds,21.73,21.96,49.61,621.25
3102,Chia seeds,28.88,18.29,42.16,568.12
3103,Carob chips,56.29,8.15,31.36,540.0
3104,"Bread, NS as to major flour",49.2,9.43,3.59,266.83
3105,"Bread, NS as to major flour, toasted",54.07,10.36,3.94,293.18
3106,"Bread, made from home recipe or purchased at a bakery, NS as to major flour",50.09,8.63,3.41,265.57
3107,"Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour",55.05,9.49,3.75,291.91
3108,"Roll, NS as to major flour",50.12,9.77,3.91,274.75
3109,"Roll, hard, NS as to major flour",52.7,9.9,4.3,289.1
3110,"Roll, bran, NS as to type of bran",44.6,9.6,6.0,270.8
3111,"Bread, white",49.2,9.43,3.59,266.83
3112,"Bread, white, toasted",54.07,10.36,3.94,293.18
3113,"Bread, white, made from home recipe or purchased at a bakery",50.09,8.63,3.41,265.57
3114,"Bread, white, made from home recipe or purchased at a bakery, toasted",55.05,9.49,3.75,291.91
3115,"Bread, white with whole wheat swirl",46.15,10.86,3.57,260.17
3116,"Bread, white with whole wheat swirl, toasted",53.39,12.45,4.12,300.44
3117,"Bread, Cuban",51.88,10.75,2.42,272.3
3118,"Bread, Cuban, toasted",57.01,11.81,2.66,299.22
3119,"Bread, native, water, Puerto Rican style",51.97,8.78,3.26,272.34
3120,"Bread, native, water, toasted, Puerto Rican style",57.11,9.65,3.58,299.26
3121,"Bread, lard, Puerto Rican style",55.48,6.97,2.95,276.35
3122,"Bread, lard, toasted, Puerto Rican style",61.64,7.74,3.28,307.04
3123,"Bread, caressed, Puerto Rican style",49.33,7.76,4.58,269.58
3124,"Bread, caressed, toasted, Puerto Rican style",54.21,8.53,5.03,296.23
3125,"Bread, French or Vienna",51.88,10.75,2.42,272.3
3126,"Bread, French or Vienna, toasted",57.01,11.81,2.66,299.22
3127,"Focaccia, Italian flatbread, plain",35.82,8.77,7.89,249.37
3128,"Naan, Indian flatbread",50.23,11.09,7.28,310.8
3129,"Bread, Italian, Grecian, Armenian",48.11,9.49,2.73,254.97
3130,"Bread, Italian, Grecian, Armenian, toasted",52.87,10.43,3.0,280.2
3131,"Bread, pita",55.7,9.1,1.2,270.0
3132,"Bread, pita, toasted",61.21,10.0,1.32,296.72
3133,"Bread, pita with fruit",59.51,8.16,1.05,280.13
3134,"Bread, pita with fruit, toasted",65.4,8.97,1.15,307.83
3135,"Bread, cheese",44.83,10.42,20.83,408.47
3136,"Bread, cheese, toasted",49.26,11.45,22.89,448.85
3137,"Bread, cinnamon",44.38,7.05,5.29,253.33
3138,"Bread, cinnamon, toasted",54.07,10.36,3.94,293.18
3139,"Bread, cornmeal and molasses",55.11,6.74,3.79,281.51
3140,"Bread, cornmeal and molasses, toasted",60.56,7.4,4.17,309.37
3141,"Bread, egg, Challah",47.8,9.5,6.0,283.2
3142,"Bread, egg, Challah, toasted",52.53,10.44,6.59,311.19
3143,"Garlic bread, NFS",41.64,8.34,16.58,349.14
3144,"Garlic bread, from fast food / restaurant",41.64,8.34,16.58,349.14
3145,"Garlic bread, from frozen",41.72,8.36,16.61,349.81
3146,"Garlic bread, with parmesan cheese, from fast food / restaurant",41.06,8.76,16.8,350.48
3147,"Garlic bread, with parmesan cheese, from frozen",41.14,8.78,16.83,351.15
3148,"Garlic bread, with melted cheese, from fast food / restaurant",34.21,11.41,17.34,338.54
3149,"Garlic bread, with melted cheese, from frozen",36.86,10.36,17.1,342.78
3150,"Bread, onion",44.17,7.53,2.92,233.08
3151,"Bread, onion, toasted",48.54,8.28,3.21,256.17
3152,"Bread, reduced calorie and/or high fiber, white or NFS",44.3,8.7,2.5,234.5
3153,"Bread, reduced calorie and/or high fiber, white or NFS, toasted",48.68,9.56,2.75,257.71
3154,"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts",49.95,7.83,2.14,250.38
3155,"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts, toasted",54.89,8.6,2.35,275.11
3156,"Bread, white, special formula, added fiber",43.91,10.66,2.15,237.63
3157,"Bread, white, special formula, added fiber, toasted",48.25,11.71,2.36,261.08
3158,"Bread, high protein",43.8,12.1,2.2,243.4
3159,"Bread, high protein, toasted",48.13,13.3,2.42,267.5
3160,"Bread, potato",47.07,12.5,3.13,266.45
3161,"Bread, potato, toasted",51.72,13.74,3.44,292.8
3162,"Bread, raisin",52.21,8.82,3.26,273.46
3163,"Bread, raisin, toasted",57.38,9.69,3.58,300.5
3164,"Bread, white, low sodium or no salt",49.6,8.2,3.6,263.6
3165,"Bread, white, low sodium or no salt, toasted",54.5,9.01,3.96,289.68
3166,"Bread, sour dough",51.88,10.75,2.42,272.3
3167,"Bread, sour dough, toasted",57.01,11.81,2.66,299.22
3168,"Bread, sweet potato",45.24,7.41,2.84,236.16
3169,"Bread, sweet potato, toasted",49.72,8.14,3.12,259.52
3170,"Bread, vegetable",47.79,8.27,3.23,253.31
3171,"Bread, vegetable, toasted",52.52,9.09,3.55,278.39
3172,Bruschetta,21.35,4.29,7.61,171.05
3173,"Bread, dough, fried",44.83,8.04,18.79,380.59
3174,"Roll, white, soft",50.12,9.77,3.91,274.75
3175,"Roll, white, hard",52.7,9.9,4.3,289.1
3176,"Roll, white, hot dog bun",50.12,9.77,3.91,274.75
3177,"Roll, white, hamburger bun",50.12,9.77,3.91,274.75
3178,"Roll, diet",51.88,10.75,2.42,272.3
3179,"Roll, egg bread",47.8,9.5,6.0,283.2
3180,"Roll, cheese",49.56,11.48,7.85,314.81
3181,"Roll, French or Vienna",50.2,8.6,4.3,273.9
3182,"Roll, garlic",51.95,10.84,6.44,309.12
3183,"Roll, white, hoagie, submarine",50.12,9.77,3.91,274.75
3184,"Roll, Mexican, bolillo",55.77,10.65,5.8,317.88
3185,"Roll, sour dough",51.88,10.75,2.42,272.3
3186,"Roll, sweet, no frosting",53.58,10.04,7.37,320.81
3187,"Roll, sweet, cinnamon bun, no frosting",50.9,6.2,16.4,376.0
3188,"Roll, sweet, cinnamon bun, frosted",48.6,4.45,26.61,451.69
3189,"Pan Dulce, with fruit, no frosting",50.9,6.2,16.4,376.0
3190,"Roll, sweet, with fruit, frosted",53.56,5.23,16.37,382.49
3191,"Roll, sweet, with fruit, frosted, diet",48.6,4.45,26.61,451.69
3192,"Roll, sweet, frosted",50.92,5.49,20.06,406.18
3193,"Pan Dulce, no topping",56.38,9.42,11.58,367.42
3194,"Pan Dulce, with sugar topping",56.35,8.73,12.82,375.7
3195,"Pan Dulce, with raisins and icing",58.57,8.29,11.39,369.95
3196,"Coffee cake, yeast type",50.9,6.2,16.4,376.0
3197,Croissant,45.8,8.2,21.0,405.0
3198,"Croissant, cheese",47.0,9.2,20.9,412.9
3199,"Croissant, chocolate",49.4,7.4,22.79,432.31
3200,"Croissant, fruit",47.04,7.75,19.72,396.64
3201,Brioche,35.84,8.76,26.82,419.78
3202,"Bread, Spanish coffee",58.23,7.6,8.72,341.8
3203,Bagel,52.38,10.56,1.32,263.64
3204,"Bagel, with raisins",55.07,9.83,1.21,270.49
3205,"Bagel, with fruit other than raisins",48.36,9.55,1.25,242.89
3206,Bread stuffing,21.71,3.14,8.51,175.99
3207,Bread stuffing made with egg,17.75,3.32,11.9,191.38
3208,"Breadsticks, NFS",44.39,12.18,12.85,341.93
3209,"Breadsticks, hard, NFS",68.4,12.0,9.5,407.1
3210,"Breadsticks, hard, reduced sodium",71.64,10.64,10.63,424.79
3211,"Breadsticks, soft, NFS",44.39,12.18,12.85,341.93
3212,"Breadsticks, soft, from fast food / restaurant",44.39,12.18,12.85,341.93
3213,"Breadsticks, soft, from frozen",46.37,11.09,9.16,312.28
3214,"Breadsticks, soft, with parmesan cheese, from fast food / restaurant",43.76,12.52,13.15,343.47
3215,"Breadsticks, soft, with parmesan cheese, from frozen",46.37,11.09,9.16,312.28
3216,"Breadsticks, soft, topped with melted cheese",36.41,14.48,14.36,332.8
3217,"Breadsticks, soft, stuffed with melted cheese",36.41,14.48,14.36,332.8
3218,Croutons,63.5,10.8,18.3,461.9
3219,"Muffin, English",44.17,8.87,1.69,227.37
3220,"Muffin, English, with raisins",47.68,8.31,1.55,237.91
3221,"Muffin, English, cheese",42.08,9.59,3.31,236.47
3222,"Muffin, English, with fruit other than raisins",47.63,9.31,1.8,243.96
3223,Melba toast,76.6,12.1,3.2,383.6
3224,Anisette toast,74.2,10.1,9.7,424.5
3225,Pannetone,53.74,8.66,8.24,323.76
3226,Zwieback toast,74.2,10.1,9.7,424.5
3227,"Bread, whole grain white",43.91,10.66,2.15,237.63
3228,"Bread, whole grain white, toasted",48.25,11.71,2.36,261.08
3229,"Bagel, whole grain white",48.89,10.2,1.53,250.13
3230,"Bread, whole wheat",43.1,12.3,3.55,253.55
3231,"Bread, whole wheat, toasted",47.36,13.52,3.9,278.62
3232,"Bread, whole wheat, made from home recipe or purchased at bakery",47.44,9.22,4.07,263.27
3233,"Bread, whole wheat, made from home recipe or purchased at bakery, toasted",52.13,10.14,4.48,289.4
3234,"Bread, chappatti or roti, wheat",46.13,7.85,9.2,298.72
3235,"Bread, puri, wheat",39.17,6.2,24.75,404.23
3236,"Bread, paratha, wheat",45.35,6.36,13.2,325.64
3237,"Bread, whole wheat, with raisins",56.72,7.73,3.98,293.62
3238,"Bread, whole wheat, with raisins, toasted",62.33,8.5,4.38,322.74
3239,"Bread, sprouted wheat",33.88,13.16,0.0,188.16
3240,"Bread, sprouted wheat, toasted",37.23,14.46,0.0,206.76
3241,"Bread, wheat or cracked wheat",47.54,10.67,4.53,273.61
3242,"Bread, wheat or cracked wheat, toasted",52.24,11.72,4.98,300.66
3243,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",49.23,8.94,3.64,265.44
3244,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted",54.1,9.82,4.0,291.68
3245,"Bread, wheat or cracked wheat, with raisins",57.76,7.57,3.64,294.08
3246,"Bread, wheat or cracked wheat, with raisins, toasted",63.48,8.32,4.0,323.2
3247,"Bread, wheat or cracked wheat, reduced calorie and/or high fiber",44.91,8.91,2.55,238.23
3248,"Bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted",49.35,9.79,2.8,261.76
3249,"Bread, French or Vienna, whole wheat",49.1,8.33,1.04,239.08
3250,"Bread, French or Vienna, whole wheat, toasted",53.96,9.15,1.14,262.7
3251,"Bread, pita, whole wheat",55.89,9.8,1.71,278.15
3252,"Bread, pita, whole wheat, toasted",61.42,10.77,1.88,305.68
3253,"Bread, pita, wheat or cracked wheat",55.89,9.8,1.71,278.15
3254,"Bread, pita, wheat or cracked wheat, toasted",61.42,10.77,1.88,305.68
3255,"Bagel, wheat",48.89,10.2,1.53,250.13
3256,"Bagel, whole wheat",48.89,10.2,1.53,250.13
3257,"Bagel, wheat, with raisins",51.93,9.51,1.4,258.36
3258,"Bagel, whole wheat, with raisins",51.93,9.51,1.4,258.36
3259,"Bagel, wheat, with fruit and nuts",50.83,9.54,2.68,265.6
3260,"Bagel, wheat bran",48.89,10.2,1.53,250.13
3261,"Muffin, English, wheat bran",44.8,8.7,2.0,232.0
3262,"Muffin, English, wheat bran, with raisins",48.25,8.16,1.82,242.02
3263,"Muffin, English, wheat or cracked wheat",44.8,8.7,2.0,232.0
3264,"Muffin, English, whole wheat",44.8,8.7,2.0,232.0
3265,"Muffin, English, wheat or cracked wheat, with raisins",47.94,8.21,1.84,241.16
3266,"Muffin, English, whole wheat, with raisins",47.94,8.21,1.84,241.16
3267,"Muffin, English, whole grain white",44.8,8.7,2.0,232.0
3268,"Breadsticks, hard, whole wheat",68.14,13.23,10.88,423.4
3269,"Roll, wheat or cracked wheat",46.0,8.6,6.3,275.1
3270,"Roll, wheat or cracked wheat, hot dog bun",47.31,11.69,3.61,268.49
3271,"Roll, wheat or cracked wheat, hamburger bun",47.31,11.69,3.61,268.49
3272,"Roll, whole wheat",46.0,8.6,6.3,275.1
3273,"Roll, whole wheat, hot dog bun",44.93,12.38,4.38,268.66
3274,"Roll, whole wheat, hamburger bun",44.93,12.38,4.38,268.66
3275,"Roll, whole grain white",46.5,9.3,3.49,254.61
3276,"Roll, whole grain white, hot dog bun",46.5,9.3,3.49,254.61
3277,"Roll, whole grain white, hamburger bun",46.5,9.3,3.49,254.61
3278,"Bread, rye",48.3,8.5,3.3,256.9
3279,"Bread, rye, toasted",53.08,9.34,3.63,282.35
3280,"Bread, marble rye and pumpernickel",48.3,8.5,3.3,256.9
3281,"Bread, marble rye and pumpernickel, toasted",53.08,9.34,3.63,282.35
3282,"Muffin, English, rye",48.3,8.5,3.3,256.9
3283,"Bread, pumpernickel",47.5,8.7,3.1,252.7
3284,"Bread, pumpernickel, toasted",52.2,9.56,3.41,277.73
3285,"Bagel, pumpernickel",48.89,10.2,1.53,250.13
3286,"Muffin, English, pumpernickel",47.5,8.7,3.1,252.7
3287,"Bread, black",47.5,8.7,3.1,252.7
3288,"Bread, black, toasted",52.2,9.56,3.41,277.73
3289,"Roll, rye",48.3,8.5,3.3,256.9
3290,"Roll, pumpernickel",51.87,10.8,2.8,275.88
3291,"Bread, oatmeal",48.5,8.4,4.4,267.2
3292,"Bread, oatmeal, toasted",53.3,9.23,4.84,293.68
3293,"Bread, oat bran",53.89,9.33,4.89,296.89
3294,"Bread, oat bran, toasted",53.3,9.23,4.84,293.68
3295,"Bagel, oat bran",48.89,10.2,1.53,250.13
3296,"Roll, oatmeal",48.5,8.4,4.4,267.2
3297,"Muffin, English, oat bran",48.5,8.4,4.4,267.2
3298,"Muffin, English, oat bran, with raisins",51.58,7.89,3.98,273.7
3299,"Bread, multigrain, toasted",47.63,14.68,4.65,291.09
3300,"Bread, multigrain",43.34,13.36,4.23,264.87
3301,"Bread, multigrain, with raisins",46.94,12.35,3.83,271.63
3302,"Bread, multigrain, with raisins, toasted",51.58,13.58,4.21,298.53
3303,"Bread, multigrain, reduced calorie and/or high fiber",44.91,8.91,2.55,238.23
3304,"Bread, multigrain, reduced calorie and/or high fiber, toasted",49.35,9.79,2.8,261.76
3305,"Roll, multigrain",44.6,9.6,6.0,270.8
3306,"Roll, multigrain, hot dog bun",44.6,9.6,6.0,270.8
3307,"Roll, multigrain, hamburger bun",44.6,9.6,6.0,270.8
3308,"Bagel, multigrain",48.89,10.2,1.53,250.13
3309,"Bagel, multigrain, with raisins",51.93,9.51,1.4,258.36
3310,"Muffin, English, multigrain",44.8,8.7,2.0,232.0
3311,"Bread, barley",47.54,10.67,4.53,273.61
3312,"Bread, barley, toasted",52.24,11.72,4.98,300.66
3313,"Bread, soy",42.01,15.42,3.44,260.68
3314,"Bread, soy, toasted",46.16,16.94,3.78,286.42
3315,"Bread, sunflower meal",47.83,9.8,8.2,304.32
3316,"Bread, sunflower meal, toasted",52.56,10.77,9.01,334.41
3317,"Bread, rice",45.78,4.31,5.24,247.52
3318,"Bread, rice, toasted",50.31,4.74,5.76,272.04
3319,"Injera, Ethiopian bread",18.29,3.48,0.84,94.64
3320,"Bread, gluten free",45.78,4.31,5.24,247.52
3321,"Bread, gluten free, toasted",50.31,4.74,5.76,272.04
3322,"Breadsticks, hard, gluten free",66.3,11.25,15.84,452.76
3323,"Roll, gluten free",50.47,3.34,2.65,239.09
3324,"Biscuit, NFS",42.82,7.08,18.92,369.88
3325,Crumpet,44.17,8.87,1.69,227.37
3326,"Biscuit, from refrigerated dough",49.05,6.79,11.22,324.34
3327,"Biscuit, from fast food / restaurant",42.82,7.08,18.92,369.88
3328,"Biscuit, home recipe",44.4,6.74,15.46,343.7
3329,"Biscuit, wheat",43.9,7.5,18.19,369.31
3330,"Biscuit, cheese",38.78,8.7,20.43,373.79
3331,Biscuit with fruit,46.47,6.7,17.05,366.13
3332,Scone,47.63,6.43,17.84,376.8
3333,"Scone, with fruit",50.8,6.12,16.08,372.4
3334,"Cornbread, prepared from mix",54.46,6.59,9.58,330.42
3335,"Cornbread, made from home recipe",42.65,6.44,9.6,282.76
3336,Cornbread stuffing,21.9,2.9,8.8,178.4
3337,"Cornbread muffin, stick, round",51.0,5.9,8.4,303.2
3338,"Cornbread muffin, stick, round, made from home recipe",45.7,6.9,10.28,302.92
3339,"Corn flour patty or tart, fried",41.18,3.98,4.64,222.4
3340,"Corn pone, baked",39.68,3.5,4.31,211.51
3341,"Corn pone, fried",37.79,3.34,9.78,252.54
3342,"Gordita/sope shell, plain, no filling",36.65,4.18,16.19,309.03
3343,Hush puppy,40.21,6.16,13.25,304.73
3344,Johnnycake,43.77,7.89,7.38,273.06
3345,Spoonbread,18.54,6.72,6.83,162.51
3346,"Tortilla, NFS",47.01,6.95,5.42,264.62
3347,"Tortilla, corn",44.64,5.7,2.85,227.01
3348,"Tortilla, flour",49.38,8.2,7.99,302.23
3349,"Tortilla, whole wheat",45.89,9.76,9.76,310.44
3350,"Taco shell, corn",63.49,6.41,21.79,475.71
3351,"Taco shell, flour",53.2,8.83,29.07,509.75
3352,Arepa Dominicana,30.45,5.68,13.94,269.98
3353,"Muffin, NFS",53.0,4.49,16.07,374.59
3354,"Muffin, fruit",53.0,4.49,16.07,374.59
3355,"Muffin, fruit, low fat",50.05,4.23,4.22,255.1
3356,"Muffin, chocolate chip",55.12,5.64,18.82,412.42
3357,"Muffin, chocolate",50.63,6.39,18.5,394.58
3358,"Muffin, whole wheat",44.24,7.2,18.25,370.01
3359,"Muffin, wheat",45.54,6.61,17.78,368.62
3360,"Muffin, whole grain",45.54,6.61,17.78,368.62
3361,"Muffin, wheat bran",38.98,6.24,5.82,233.26
3362,"Muffin, bran with fruit, lowfat",40.21,5.34,1.49,195.61
3363,"Muffin, oatmeal",43.74,6.33,18.69,368.49
3364,"Muffin, oat bran",48.3,7.0,7.4,287.8
3365,"Muffin, plain",51.69,5.78,15.95,373.43
3366,"Muffin, cheese",30.13,9.54,22.7,362.98
3367,"Muffin, pumpkin",42.95,4.85,12.72,305.68
3368,"Muffin, zucchini",42.38,4.93,12.94,305.7
3369,"Muffin, carrot",44.0,4.88,12.98,312.34
3370,Popover,34.83,10.88,8.69,261.05
3371,"Bread, Boston Brown",47.54,10.67,4.53,273.61
3372,"Bread, nut",49.55,6.49,19.55,400.11
3373,"Bread, pumpkin",42.95,4.85,12.72,305.68
3374,"Bread, fruit",47.22,5.96,17.61,371.21
3375,"Bread, zucchini",42.38,4.93,12.94,305.7
3376,"Bread, Irish soda",50.72,6.26,8.66,305.86
3377,"Cake batter, raw, chocolate",40.46,4.34,13.66,302.14
3378,"Cake batter, raw, not chocolate",41.35,3.89,11.33,282.93
3379,"Cake or cupcake, NS as to type",52.84,3.48,20.05,405.73
3380,"Cake, angel food, without icing or filling",58.7,6.1,0.3,261.9
3381,"Cake, angel food, with icing or filling",65.34,4.1,6.91,339.95
3382,"Cake, angel food, with fruit and icing or filling",42.5,4.35,3.03,214.67
3383,"Cake or cupcake, applesauce, without icing or filling",44.55,4.91,24.68,419.96
3384,"Cake or cupcake, applesauce, with icing or filling",46.37,3.86,26.07,435.55
3385,"Cake or cupcake, banana, without icing or filling",46.79,5.31,25.51,437.99
3386,"Cake or cupcake, banana, with icing or filling",47.84,4.09,26.63,447.39
3387,"Cake or cupcake, Black Forest",38.0,2.4,12.5,274.1
3388,"Cake, Boston cream pie",42.9,2.4,8.5,257.7
3389,"Cake or cupcake, carrot, without icing or filling",43.41,5.29,25.62,425.38
3390,"Cake or cupcake, carrot, with icing or filling",45.74,4.07,26.71,439.63
3391,"Cake, carrot, diet",74.3,3.71,11.14,412.3
3392,"Cake or cupcake, coconut, with icing or filling",63.2,4.4,10.3,363.1
3393,Cheesecake,25.5,5.5,22.5,326.5
3394,Cheesecake with fruit,18.62,3.63,13.92,214.28
3395,"Cheesecake, chocolate",32.55,5.97,25.82,386.46
3396,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling",52.84,3.48,20.05,405.73
3397,"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling",45.46,4.88,15.35,339.51
3398,"Cake or cupcake, German chocolate, with icing or filling",51.49,3.85,21.92,418.64
3399,"Cake, chocolate, with icing, diet",69.37,3.71,13.0,409.32
3400,"Cake, cream, without icing or topping",45.84,4.86,18.93,373.17
3401,"Snack cake, chocolate, with icing or filling",60.31,3.63,15.93,399.13
3402,"Snack cake, chocolate, with icing or filling, reduced fat and calories",69.37,3.71,13.0,409.32
3403,"Snack cake, not chocolate, with icing or filling",64.03,3.47,11.54,373.86
3404,"Snack cake, not chocolate, with icing or filling, reduced fat and calories",74.3,3.71,11.14,412.3
3405,"Cake, Dobos Torte",55.51,3.58,18.01,398.45
3406,"Cake, fruit cake, light or dark, holiday type cake",61.6,2.9,9.1,339.9
3407,"Cake or cupcake, gingerbread",50.68,4.02,10.15,310.15
3408,Ice cream cake,39.9,3.24,14.46,302.7
3409,"Cake, jelly roll",56.21,4.01,14.1,367.78
3410,"Cake or cupcake, lemon, without icing or filling",45.37,4.54,16.29,346.25
3411,"Cake or cupcake, lemon, with icing or filling",54.97,3.43,17.49,391.01
3412,"Cake or cupcake, marble, without icing or filling",45.42,4.71,15.82,342.9
3413,"Cake or cupcake, marble, with icing or filling",54.52,3.24,18.98,401.86
3414,"Cake or cupcake, nut, without icing or filling",46.01,6.53,24.9,434.26
3415,"Cake or cupcake, nut, with icing or filling",53.7,4.15,20.32,414.28
3416,"Cake or cupcake, oatmeal",63.22,3.25,12.66,379.82
3417,"Cake or cupcake, peanut butter",53.64,5.17,21.18,425.86
3418,"Cake, pound, without icing or filling",53.64,5.0,13.96,360.2
3419,"Cake, pound, with icing or filling",62.78,3.59,15.82,407.86
3420,"Cake, pound, chocolate",61.38,5.42,18.29,431.81
3421,"Cake, pound, Puerto Rican style",45.16,6.96,29.1,470.38
3422,"Cake, pound, reduced fat, cholesterol free",61.0,5.4,1.2,276.4
3423,"Cake or cupcake, pumpkin, without icing or filling",40.82,5.07,24.0,399.56
3424,"Cake or cupcake, pumpkin, with icing or filling",43.92,3.98,25.59,421.91
3425,"Cake or cupcake, raisin-nut",52.19,6.11,21.29,424.81
3426,"Cake, Ravani",48.86,3.83,7.56,278.8
3427,"Cake, rice flour, without icing or filling",44.21,4.46,8.0,266.68
3428,"Cake, Quezadilla, El Salvadorian style",56.38,9.42,11.58,367.42
3429,"Cake or cupcake, spice, without icing or filling",44.55,4.91,24.68,419.96
3430,"Cake or cupcake, spice, with icing or filling",46.37,3.86,26.07,435.55
3431,"Cake, sponge, without icing or filling",61.0,5.4,2.7,289.9
3432,"Cake, sponge, with icing or filling",68.29,3.69,8.21,361.81
3433,"Cake, sponge, chocolate",66.45,4.12,8.75,361.03
3434,"Rum cake, without icing",53.64,5.0,13.96,360.2
3435,"Cake, torte",37.07,3.67,13.72,286.44
3436,"Cake, tres leche",41.86,6.35,8.73,271.41
