,Сливочное масло с солью,717,0.85,81.11,0.06
3988,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, всех сортов, сырая",316,16.26,27.29,0.0
3989,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, всех сортов, вареная, запеченная",338,21.55,27.22,0.0
3990,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, всех сортов, вареная, запеченная",355,23.01,28.51,0.0
3991,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 ""жирности, на выбор, сырая",333,16.03,29.34,0.0
3992,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, на выбор, вареная, запеченная",370,20.86,31.18,0.0
3993,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, на выбор, вареная, запеченная",378,22.5,31.28,0.0
3994,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, отборная, сырая",295,16.52,24.85,0.0
3995,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, отборная, вареная, запеченная",324,21.55,25.71,0.0
3996,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, отборная, вареная, запеченная",333,23.4,25.84,0.0
3997,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, первичная, сырая",367,15.77,33.26,0.0
3998,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, высшего сорта, отварная, запеченная",404,20.65,34.97,0.0
3999,"Говядина, ребрышки, крупная часть (6-9 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, высшего сорта, вареная, запеченная",393,22.86,32.74,0.0
4000,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, всех сортов, сырая",254,19.33,19.06,0.0
4001,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, всех сортов, приготовленная, бр",291,25.85,20.04,0.0
4002,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, всех сортов, приготовленная, рупий",341,22.54,27.14,0.0
4003,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 ""жирности, на выбор, сырая",263,19.09,20.13,0.0
4004,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, на выбор, вареная, запеченная",304,24.53,22.09,0.0
4005,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, на выбор, вареная, запеченная",359,22.28,29.21,0.0
4006,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8""жирности, отборная, сырая",246,19.56,18.0,0.0
4007,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, отборная, вареная, запеченная",278,27.17,18.0,0.0
4008,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, отборная, вареная, запеченная",323,22.76,25.02,0.0
4009,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, первичная, сырая",335,16.74,29.18,0.0
4010,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, первичная, отварная, запеченная",354,24.13,27.86,0.0
4011,"Говядина, ребрышки, небольшая часть (10-12 ребрышек), только нежирная и жирная, 1/8 дюйма жирности, высшего сорта, вареная, запеченная",411,22.15,35.12,0.0
4012,"Говядина, запеченная в виде лопатки, без косточек, только нежирная и жирная, 0"" жирности, отборная, приготовленная, г",194,27.7,9.29,0.0
4013,"Говядина, стейк из лопатки, bnls, только нежирная, 0"" жирности, всех сортов, сырая",146,20.16,7.25,0.0
4014,"Говядина, круглая, цельная, только нежирная и жирная, 1/8 дюйма жирности, на выбор, сырая",195,20.56,11.92,0.0
4015,"Говядина, круглая, цельная, только нежирная и жирная, 1/8 дюйма жирности, на выбор, вареная, запеченная",235,27.54,12.98,0.0
4016,"Говядина, круглая, цельная, только нежирная и жирная, 1/8 дюйма жирности, отборная, сырая",184,20.56,10.68,0.0
4017,"Говядина, круглая, цельная, только нежирная и жирная, 1/8 дюйма жирности, отборная, вареная, запеченная",218,27.58,11.08,0.0
4018,"Говядина круглая, бифштекс только нежирный и жирный, 1/8 дюйма жирности, всех сортов, сырой",192,20.7,11.54,0.0
4019,"Говядина, круглая, нижняя часть круглая, стейк, только нежирный и жирный, 1/8 дюйма жирности, всех сортов, вареный, тушеный",247,32.76,11.87,0.0
4020,"Говядина круглая, с округлым дном, запеченная, только нежирная и жирная, 1/8 дюйма жирности, всех сортов, вареная, запеченная",218,26.41,11.64,0.0
4021,"Говядина, круглая, с округлым дном, стейк, только нежирный и жирный, 1/8 дюйма жирности, на выбор, сырой",198,20.71,12.15,0.0
4022,"Говядина, круглая, нижняя часть круглая, стейк, только нежирный и жирный, 1/8 дюйма жирности, на выбор, приготовленный, тушеный",254,32.85,12.56,0.0
4023,"Говядина, круглая, с округлым дном, запеченная, только нежирная и жирная, 1/8 дюйма жирности, на выбор, вареная, запеченная",223,26.05,12.44,0.0
4024,"Говядина, круглая, с округлым дном, стейк, только нежирный и жирный, 1/8 дюйма жирности, отборный, сырой",187,20.68,10.93,0.0
4025,"Говядина, круглая, нижняя часть круглая, стейк, только нежирный и жирный, 1/8 дюйма жирности, отборный, приготовленный, тушеный",240,32.67,11.19,0.0
4026,"Говядина, круглая, с округлым дном, запеченная, только нежирная и жирная, 1/8 дюйма жирности, отборная, приготовленная, запеченная",212,26.77,10.85,0.0
4027,"Говядина круглая, с круглыми глазками, жареная, только нежирная и жирная, 1/8 дюйма жирности, всех сортов, сырая",166,21.49,8.24,0.0
4028,"Говядина круглая, с круглыми глазками, запеченная, только нежирная и жирная, 1/8 дюйма жирности, всех сортов, вареная, запеченная",208,28.31,9.65,0.0
4029,"Говядина круглая, с круглыми глазками, запеченная, только нежирная и жирная, 1/8 дюйма жирности, на выбор, сырая",173,21.68,8.91,0.0
4030,"Говядина круглая, с круглыми глазками, запеченная, только нежирная и жирная, 1/8 дюйма жирности, на выбор, вареная, запеченная",212,28.48,10.05,0.0
4031,"Говядина круглая, с круглыми глазками, запеченная, только нежирная и жирная, 1/8 дюйма жирности, отборная, сырая",159,21.3,7.57,0.0
4032,"Говядина круглая, с круглыми глазками, запеченная, только нежирная и жирная, 1/8 дюйма жирности, отборная, приготовленная, запеченная",204,28.13,9.26,0.0
4033,"Говядина круглая, только нежирная и жирная, 1/8 дюйма жирности, всех сортов, сырая",189,19.6,11.67,0.0
4034,"Говядина круглая, запеченная, только нежирная и жирная, 1/8 дюйма жирности, всех сортов, вареная, запеченная",219,27.45,11.34,0.0
4035,"Говядина круглая, только нежирная и жирная, 1/8 ""жирности, на выбор, сырая",199,19.48,12.83,0.0
4036,"Говядина, круглая, с верхушками, запеченная, только нежирная и жирная, 1/8 дюйма жирности, на выбор, вареная, запеченная",228,27.27,12.34,0.0
4037,"Говядина круглая, только нежирная и жирная, 1/8 ""жирности, отборная, сырая",178,19.74,10.39,0.0
4038,"Говядина, круглая, с верхушками, запеченная, только нежирная и жирная, 1/8 дюйма жирности, отборная, приготовленная, запеченная",210,27.63,10.24,0.0
4039,"Говяжий стейк с лопаткой, без костей, только нежирный, 0"" жирности, на выбор, сырой",152,20.07,7.94,0.0
4040,"Говядина, круглая, с круглым верхом, только нежирная, 1/8 дюйма жирности, на выбор, приготовленная, обжаренная на сковороде",228,33.93,8.33,2.03
4041,"Говядина, круглая, с верхом, стейк, только нежирный и жирный, 1/8 дюйма жирности, всех сортов, сырой",166,22.06,7.93,0.0
4042,"Говядина круглая, только постная и жирная, 1/8 дюйма жирности, всех сортов, вареная, тушеная",238,34.34,10.13,0.0
4043,"Говядина, круглый стейк, только нежирный и жирный, 1/8 дюйма жирности, всех сортов, вареный, запеченный",204,30.67,9.0,0.0
4044,"Говядина, круглая, с верхом, стейк, только нежирный и жирный, 1/8 дюйма жирности, на выбор, сырой",168,21.94,8.19,0.0
4045,"Говядина, круглая, с круглым верхом, только нежирная и жирная, 1/8 дюйма жирности, на выбор, вареная, тушеная",250,34.09,11.61,0.0
4046,"Говядина, круглая, с верхом, стейк, только нежирный и жирный, 1/8 дюйма жирности, на выбор, вареный, запеченный",224,30.7,10.27,0.0
4047,"Говядина, круглая, с круглым верхом, только нежирная и жирная, 1/8 дюйма жирности, на выбор, приготовленная, обжаренная на сковороде",266,32.99,13.83,0.0
4048,"Говядина, круглая, с верхом, стейк, только нежирный и жирный, 1/8 дюйма жирности, отборный, сырой",164,22.18,7.68,0.0
4049,"Говядина, круглая, с круглым верхом, только нежирная и жирная, 1/8 дюйма жирности, отборная, приготовленная, тушеная",225,34.6,8.54,0.0
4050,"Говядина, круглая, с верхом, стейк, только нежирный и жирный, 1/8 дюйма жирности, отборный, приготовленный, запеченный",201,30.63,7.73,0.0
4051,"Говядина, круглая, с округлым верхом, только нежирная и жирная, 1/8 дюйма жирности, первичная, сырая",173,22.24,8.67,0.0
4052,"Говядина, круглая, с верхом, стейк, только нежирный и жирный, 1/8 дюйма жирности, высшего сорта, приготовленный, запеченный",225,31.27,10.1,0.0
4053,"Говяжий стейк с лопаткой, без костей, только нежирный, 0"" жирности, отборный, сырой",137,20.28,6.21,0.0
4054,"Говядина, грудинка, плоская половинка, без костей, только нежирная и жирная, 0"" жирности, всех сортов, сырая",165,20.32,9.29,0.0
4055,"Говядина, корейка, стейк портерхаус, только нежирный и жирный, 1/8 дюйма жирности, на выбор, сырой",218,20.36,14.58,0.0
4056,"Говядина, корейка, портерхаус, только нежирная и жирная, 1/8 дюйма жирности, на выбор, приготовленная на гриле",284,24.85,19.78,0.0
4057,"Говядина, корейка, стейк на т-образной кости, только нежирный и жирный, 1/8 дюйма жирности, на выбор, сырой",228,20.0,15.83,0.0
4058,"Говядина, только нежирная, с т-образной косточкой, l и f, жирностью 1/8 дюйма, на выбор, приготовленная на гриле",294,24.21,21.13,0.0
4059,"Говядина, короткая корейка, верхняя часть корейки, стейк, только нежирный и жирный, 1/8 дюйма жирности, всех сортов, сырой",228,20.61,15.49,0.0
4060,"Говядина, корейка, только постная и жирная, 1/8 дюйма жирности, всех сортов, приготовленная на гриле",264,26.44,16.78,0.0
4061,"Говядина, корейка, только постная и жирная, 1/8 "" жирности, на выбор, сырая",237,19.32,17.1,0.0
4062,"Говядина, корейка, только нежирная, палочка, только нежирная и жирная, 1/8 дюйма жирности, отборная, приготовленная, на гриле",278,26.16,18.45,0.0
4063,"Говядина, корейка, только постная и жирная, 1/8"" жирности, отборная, сырая",224,20.59,15.04,0.0
4064,"Говядина, корейка, только постная и жирная, 1/8 дюйма жирности, отборная, приготовленная на гриле",250,26.72,15.11,0.0
4065,"Говядина, короткая корейка, верхняя часть корейки, стейк, только нежирный и жирный, 1/8 дюйма жирности, первичный, сырой",281,19.0,22.17,0.0
4066,"Говядина, короткая корейка, верхняя часть корейки, только нежирная и жирная, 1/8 дюйма жирности, высшего сорта, вареная, запеченная",310,25.92,22.12,0.0
4067,"Говядина, вырезка, стейк, только нежирные и жирные, 1/8 дюйма жирности, всех сортов, сырые",247,19.61,18.16,0.0
4068,"Говядина, вырезка, стейк, только нежирные и жирные, 1/8 дюйма жирности, всех сортов, вареные, запеченные",267,26.46,17.12,0.0
4069,"Говядина, вырезка, запеченная, только нежирная и жирная, 1/8 дюйма жирности, всех сортов, вареная, запеченная",324,23.9,24.6,0.0
4070,"Говядина, вырезка, стейк, только нежирный и жирный, 1/8 дюйма жирности, на выбор, сырой",246,19.82,17.88,0.0
4071,"Говядина, вырезка, стейк, только нежирные и жирные, 1/8 дюйма жирности, на выбор, вареные, запеченные",273,26.43,17.78,0.0
4072,"Говядина, вырезка, запеченная, только нежирная и жирная, 1/8 дюйма жирности, на выбор, вареная, запеченная",331,23.9,25.39,0.0
4073,"Говядина, вырезка, стейк, только нежирный и жирный, 1/8 дюйма жирности, отборный, сырой",249,19.37,18.46,0.0
4074,"Говядина, вырезка, стейк, только нежирные и жирные, 1/8 дюйма жирности, отборные, вареные, запеченные",262,26.48,16.53,0.0
4075,"Говядина, вырезка, запеченная, только нежирная и жирная, 1/8 дюйма жирности, отборная, вареная, запеченная",316,23.9,23.7,0.0
4076,"Говядина, вырезка, только нежирная и жирная, 1/8 дюйма жирности, первичная, сырая",274,18.15,21.83,0.0
4077,"Говядина, вырезка, стейк, только нежирные и жирные, 1/8 дюйма жирности, высшего сорта, вареные, запеченные",308,25.26,22.21,0.0
4078,"Говядина, вырезка, запеченная, только нежирная и жирная, 1/8 дюйма жирности, высшего сорта, вареная, запеченная",343,24.04,26.67,0.0
4079,"Говядина, вырезка, стейк, только нежирный и жирный, 1/8 дюйма жирности, всех сортов, сырой",201,20.3,12.71,0.0
4080,"Говядина, вырезка, стейк, только нежирный и жирный, 1/8 дюйма жирности, всех сортов, вареный, запеченный",243,26.96,14.23,0.0
4081,"Говядина, вырезка, стейк, только нежирный и жирный, 1/8 дюйма жирности, на выбор, сырой",214,19.92,14.28,0.0
4082,"Говядина, вырезка, стейк, только нежирный и жирный, 1/8 дюйма жирности, на выбор, вареный, запеченный",257,26.8,15.75,0.0
4083,"Говядина, вырезка, стейк, только нежирный и жирный, 1/8 дюйма жирности, на выбор, приготовленный, обжаренный на сковороде",313,28.77,21.06,0.0
4084,"Говядина, вырезка, стейк, только нежирный и жирный, 1/8 дюйма жирности, отборный, сырой",189,20.68,11.13,0.0
4085,"Говядина, вырезка, стейк, только нежирный и жирный, 1/8 дюйма жирности, отборный, приготовленный, запеченный",230,27.12,12.71,0.0
4086,"Говядина, цыпленок, запеченная в комочках, только нежирная, 0"" жирности, на выбор, вареная, запеченная",171,25.95,6.69,0.0
4087,"Говядина, цыпленок, запеченная в комочках, только нежирная, 0"" жирности, отборная, приготовленная, запеченная",172,28.09,5.82,0.0
4088,"Говяжья лопатка, стейк без костей, только нежирный, 0 дюймов, на выбор, гриль",178,28.54,6.25,0.0
4089,"Говяжья лопатка, стейк без костей, только нежирный, 0"" жирности, отборный, приготовленный на гриле",169,28.71,5.17,0.0
4090,"Говядина, бока, стейки, только постные и жирные, 0"" жирности, всех сортов, вареные, запеченные",192,27.66,8.23,0.0
4091,"Говядина, бока, стейки, только нежирные и жирные, 0"" жирности, отборные, вареные, запеченные",183,27.78,7.15,0.0
4092,"Говядина, грудинка, плоская половинка, только нежирная и жирная, 0"" жирности, отборная, вареная, тушеная",205,33.59,6.77,0.0
4093,"Говядина, рибай, небольшая часть (10-12 ребрышек), только нежирная и жирная, 0"", отборная, приготовленная, запеченная",234,27.95,12.71,0.0
4094,"Говядина, рибай, небольшая часть (10-12 ребрышек), только нежирная и жирная, 0"", всех сортов, вареная, запеченная",249,27.27,14.74,0.0
4095,"Отбивная, вырезка, обжарка с трех сторон, только нежирная и жирная, 0"" жирности, всех сортов, вареная, запеченная",211,26.05,11.07,0.0
4096,"Говядина, вырезка, запеченная с трех сторон, только нежирная, 0"" жирности, всех сортов, сырая",165,20.64,8.55,0.0
4097,"Говядина, вырезка, запеченная с трех сторон, только нежирная и жирная, 0"" жирности, на выбор, вареная, запеченная",221,25.66,12.36,0.0
4098,"Говядина, вырезка, запеченная с трех сторон, только нежирная и жирная, 0"" жирности, на выбор, сырая",174,20.64,9.51,0.0
4099,"Говядина, вырезка, запеченная с трех сторон, только нежирная и жирная, 0"" жирности, отборная, приготовленная, запеченная",201,26.44,9.78,0.0
4100,"Говядина, вырезка, запеченная с трех сторон, только нежирная и жирная, 0"" жирности, отборная, сырая",157,20.64,7.68,0.0
4101,"Говядина, круглая, на круглой палочке, bnls, только нежирная и жирная, 0 "" жирности, всех сортов, приготовленная, grld",167,29.96,4.28,0.0
4102,"Говядина, цыпленок, имитация нежирного стейка, только нежирные, 0"" жирности, на выбор, вареные, запеченные",161,25.74,5.69,0.0
4103,"Говядина, цыпленок, имитация нежирного стейка, только нежирные, 0"" жирности, отборные, вареные, запеченные",157,26.13,5.02,0.0
4104,"Говядина, отбивная, с верхним лезвием, только нежирная, 0"" жирности, на выбор, вареная, запеченная",217,26.11,11.65,0.0
4105,"Говядина, отбивная, с верхним лезвием, только нежирная, 0"" жирности, отборная, вареная, запеченная",184,26.16,8.0,0.0
4106,"Говядина, круглая, на круглой палочке, без косточек, только нежирная и жирная, 0 "" жирности, на выбор, приготовленная, grld",170,30.12,4.62,0.0
4107,"Говядина, круглая, стейк круглой формы, bnls, только нежирный и жирный, 0 "" жирности, отборный, приготовленный, grld",162,29.7,3.85,0.0
4108,"Говядина, бока, стейки, только нежирные, 0"" жирности, всех сортов, сырые",155,21.22,7.17,0.0
4109,"Говядина, бока, стейки, только нежирные и жирные, 0"" жирности, отборные, сырые",145,21.22,6.06,0.0
4110,"Говядина, жаркое из глазков chk, bnl, американское жаркое из говядины, только нежирное, 0"" жирности, все крупное, сырое",137,20.61,6.01,0.0
4111,"Говядина, жаркое ""чк айз"", bnl, американское жаркое из говядины, только нежирное, 0 г жирности, на выбор, сырое",139,20.67,6.21,0.0
4112,"Говядина, запеченная в духовке, без костей, американская запеченная говядина, только нежирная, 0 г жирности, отборная, сырая",133,20.52,5.71,0.0
4113,"Говядина, грудинка, плоская половинка, без костей, только нежирная и жирная, 0"" жирности, на выбор, сырая",169,20.15,9.86,0.0
4114,"Говядина, стейк на тарелке, внутри стейка, только нежирная, 0"" жирности, всех сортов, вареная, запеченная",205,26.66,10.06,0.0
4115,"Говядина, стейк на тарелке, только нежирная, 0"" жирности, всех сортов, вареная, запеченная",233,24.18,14.37,0.0
4116,"Говядина, цыпленок, короткие ребрышки, 100 г, 0"" жирности, отборный, запеченный, br",250,28.84,14.95,0.0
4117,"Говядина, цыпленок, короткие ребрышки, без костей, только нежирные, 0 г жирности, отборные, вареные, тушеные",224,28.79,12.08,0.0
4118,"Говядина, цыпленок, короткие ребрышки, без костей, только нежирные, 0"" жирности, всех сортов, вареные, тушеные",240,28.82,13.8,0.0
4119,"Говядина, грудинка, плоская половинка, без костей, только нежирная и жирная, 0"" жирности, отборная, сырая",158,20.57,8.45,0.0
4120,"Филейная часть, корейка, нижняя часть филейной вырезки, разделанная на три части, только нежирная, 0"" жирности, все крупное, вареное, запеченное",182,26.75,8.34,0.0
4121,"Алкогольные напитки, пиво, обычные, все",43,0.46,0.0,3.55
4122,"Алкогольный напиток, пиво обычное, budweiser",41,0.36,0.0,2.97
4123,"Алкогольный напиток, пиво, легкое, budweiser select",28,0.2,0.0,0.87
4124,"Алкогольный напиток, пиво, легкие закуски",29,0.24,0.0,1.64
4125,"Алкогольный напиток, пиво, лайт, bud light",29,0.25,0.0,1.3
4126,Алкогольный напиток дайкири консервированный,125,0.0,0.0,15.7
4127,"Алкогольный напиток дайкири, приготовленный по рецепту",186,0.06,0.06,6.94
4128,"Алкогольный напиток, пиво легкое, слабогазированное",27,0.17,0.0,0.73
4129,"Алкогольный напиток ""пина-колада"" консервированный",237,0.6,7.6,27.6
4130,"Напитки, миндальное молоко, подслащенный, со вкусом ванили, готовый к употреблению",38,0.42,1.04,6.59
4131,"Алкогольный напиток ""пина колада"", приготовленный по рецепту",174,0.42,1.88,22.66
4132,"Алкогольный напиток ""текила санрайз"", консервированный",110,0.3,0.1,11.3
4133,"Напитки, энергетический напиток, цитрусовые",45,0.0,0.0,11.27
4134,"Напитки, энергетический напиток monster с низким содержанием газировки",5,0.0,0.0,1.38
4135,"Напитки, смесь кислого виски, порошкообразные",383,0.6,0.1,97.3
4136,"Алкогольный напиток ""виски сауэр"", приготовленный из смеси воды, виски и сухого порошка",164,0.1,0.02,15.85
4137,"Bev, coca-cola comy, № 0, натуральный напиток, сахар, гуана, витамины в6 и в12.",4,0.0,0.0,1.03
4138,"Алкогольный напиток, виски кислый, консервированный",119,0.0,0.0,13.4
4139,"Напитки, виски sour mix, в бутылках",87,0.1,0.1,21.4
4140,"Алкогольный напиток ""виски сауэр"", приготовленный из артикула 14028",153,0.06,0.06,12.82
4141,"Bev, coca-cola co, nos engy , ogn, grpe, chery, цитрусовые, витамины b6 и b12",44,0.0,0.0,11.25
4142,"Bev, вода'в бутылках, вкуснятина, гранат с антиоксидантами, 0 калорий, в калориях",5,0.0,0.0,1.25
4143,"Напитки, abbott, eas сывороточный протеин в порошке",385,66.67,5.13,17.95
4144,"Алкогольный напиток ""Мятный крем"" 72-й выдержки",371,0.0,0.3,41.6
4145,"Напитки, abbott, соевый протеин eas в порошке",405,47.62,3.57,43.94
4146,"Напитки, цитоспорт, muscle milk, готовые к употреблению",49,5.87,2.01,2.06
4147,"Алкогольный напиток, дистиллированный, весь (джин, ром, водка, виски) 80-й выдержки",231,0.0,0.0,0.0
4148,"Напитки, океанский спрей, cran-energy, энергетический напиток из клюквы",15,0.0,0.0,3.75
4149,"Напитки, nestle, boost plus, питательный напиток, готовый к употреблению",138,5.38,5.38,17.29
4150,"Напитки, slimfast, замена еды, высокопротеиновый коктейль, готовый к употреблению, 3-2-1",58,6.59,2.88,0.85
4151,"Напитки, unilever, slimfast, замена еды, обычные, готовые к употреблению, план 3-2-1",57,3.32,1.93,7.74
4152,"Напитки, unilever, коктейль slimfast shake mix, порошкообразный, 3-2-1",448,8.13,13.34,73.92
4153,"Напитки, фузе, апельсиново-манговый, обогащенный витаминами а, с, е, в6",38,0.68,0.06,9.2
4154,"Алкогольный напиток дистиллированный, джин, 90-градусной выдержки",263,0.0,0.0,0.0
4155,"Алкогольный напиток дистиллированный, ром, 80-градусной выдержки",231,0.0,0.0,0.0
4156,"Алкогольный напиток дистиллированный, водка, 80 град.",231,0.0,0.0,0.0
4157,"Алкогольный напиток дистиллированный, виски, 86-й пробы",250,0.0,0.0,0.1
4158,"Напитки, миндальное молоко, шоколад, готовые к употреблению",50,0.63,1.25,9.38
4159,"Beverag, unilev, коктейль slimfast , с высоким содержанием белка, сухая сыворотка, 3-2-1,",368,27.87,11.62,50.0
4160,"Напитки, напиток из ягод асаи, обогащенный",62,0.83,0.83,12.83
4161,"Алкогольный напиток, вино, десерт, десерты, сладкое",160,0.2,0.0,13.69
4162,"Напитки, порошкообразный изолят сывороточного протеина",359,58.14,1.16,29.07
4163,"Напитки, kellogg's, специальный протеиновый коктейль с калием",64,3.2,1.6,9.2
4164,"Напитки, энергетический напиток с газированной водой и кукурузным сиропом с высоким содержанием фруктозы",62,0.42,0.0,15.0
4165,"Напитки, энергетический напиток, без сахара",4,0.42,0.0,0.42
4166,"Напитки, abbott, обеспечение, питательный коктейль, готовый к употреблению",105,3.8,2.53,16.88
4167,Напитки в шоколадной пудре без добавления сахара,373,9.09,9.09,63.64
4168,"Напитки, апельсиновый сок, легкий, без мякоти",21,0.21,0.0,5.42
4169,"Напитки, компания coca-cola company, фруктовый пунш hi-c flashin'",45,0.0,0.0,12.5
4170,Напитки на основе протеиновой порошкообразной сыворотки,352,78.13,1.56,6.25
4171,Напитки на основе протеинового порошка из сои,388,55.56,5.56,28.89
4172,"Напитки, порошкообразный протеин kellogg's special k20",380,35.2,0.6,58.4
4173,"Напитки, зевия, кола",0,0.0,0.0,1.13
4174,"Напитки, зевия, кола, без кофеина",0,0.0,0.0,1.13
4175,"Beverage, gmbh and co. kg, gerolsteiner натуральная вода spark minute',",0,0.0,0.0,0.0
4176,"Напитки исландские, ледниковая природная родниковая вода'",0,0.0,0.0,0.0
4177,"Напитки, цитрусовый безалкогольный напиток желто-зеленого цвета с кофеином",49,0.0,0.0,12.83
4178,"Напитки, насыщенный шоколад, порошкообразный",372,0.0,0.0,92.96
4179,"Bev, gerolsteiner brunnen, натуральная газированная вода, бутилированная за считанные минуты'",0,0.0,0.0,0.0
4180,"Напитки с шоколадным солодом в порошке, приготовленные на обезжиренном молоке",49,3.25,0.17,8.64
4181,"Алкогольный напиток, вино, столовое, все",83,0.07,0.0,2.72
4182,"Напитки, смузи v8 splash, персиково-манговый",37,1.22,0.0,7.76
4183,"Напитки, смузи v8 splash, клубнично-банановый",37,1.22,0.0,8.16
4184,"Напитки, коктейли v8 splash, тропическая колада",41,1.22,0.0,8.54
4185,"Напитки ""кокосовая вода"", готовые к употреблению, несладкие",18,0.22,0.0,4.24
4186,"Напитки с миндальным молоком, несладкие, устойчивые к хранению",15,0.59,1.1,0.58
4187,"Bev, шоколадно-миндальное молоко, несладкое, стойкое к хранению, обогащенное витаминами d2 и e",21,0.83,1.46,1.25
4188,"Напиток, coca-cola co, glaceau с водой', пунш revive frt, обогащенный",0,0.0,0.0,0.0
4189,"Напитки, minute maid, лимонад, лайм",50,0.0,0.0,13.75
4190,"Алкогольный напиток, вино, столовое, льготное",85,0.07,0.0,2.61
4191,"Алкогольный напиток, вино столовое, слабоалкогольное, каберне совиньон",83,0.07,0.0,2.6
4192,"Алкогольный напиток, вино столовое, безалкогольное, каберне фран",83,0.07,0.0,2.45
4193,"Алкогольный напиток, вино столовое, разбавленное, пино нуар",82,0.07,0.0,2.31
4194,"Алкогольный напиток, вино, столовое, безалкогольное, сира",83,0.07,0.0,2.58
4195,"Алкогольный напиток, вино, столовое, безалкогольное, барбера",85,0.07,0.0,2.79
4196,"Алкогольный напиток, вино, столовое, разбавленное, зинфандель",88,0.07,0.0,2.86
4197,"Алкогольный напиток, вино, столовое, с пониженным содержанием сахара, petite sirah",85,0.07,0.0,2.68
4198,"Алкогольный напиток, вино столовое, разбавленное, бордовый",83,0.07,0.0,3.01
4199,"Алкогольный напиток, вино столовое, белое",82,0.07,0.0,2.6
4200,"Алкогольный напиток, вино, столовое, безалкогольное, лембергер",80,0.07,0.0,2.46
4201,"Алкогольный напиток, вино столовое, безалкогольное, санджовезе",86,0.07,0.0,2.62
4202,"Алкогольный напиток, вино столовое, разбавленное, кариньян",74,0.07,0.0,2.4
4203,"Алкогольный напиток, вино столовое, белое, пино гри (grigio)",83,0.07,0.0,2.06
4204,"Алкогольный напиток, вино столовое, белое, шенен блан",80,0.07,0.0,3.31
4205,"Алкогольный напиток, вино столовое, белое, fume blanc",82,0.07,0.0,2.27
4206,"Напитки, овощные смеси, напитки из овощей и фруктовых соков с добавлением питательных веществ",29,0.04,0.01,7.47
4207,"Алкогольный напиток, вино столовое, белое, мюллер тургау",76,0.07,0.0,3.48
4208,"Напитки газированные, газированная вода",0,0.0,0.0,0.0
4209,"Алкогольный напиток, вино столовое, белое, гевюрцтраминер",81,0.07,0.0,2.6
4210,"Алкогольный напиток, вино столовое, белое, позднего урожая, гевюрцтраминер",108,0.07,0.0,11.39
4211,"Алкогольный напиток, вино, столовое, белое, семильонское",82,0.07,0.0,3.12
4212,"Газированный напиток, крем-сода",51,0.0,0.0,13.3
4213,"Алкогольный напиток, вино столовое, белое, рислинг",80,0.07,0.0,3.74
4214,"Алкогольный напиток, вино столовое, белое, совиньон блан",81,0.07,0.0,2.05
4215,"Алкогольный напиток, вино столовое, белое, позднего урожая",112,0.07,0.0,13.39
4216,"Напитки газированные, имбирный эль",34,0.0,0.0,8.76
4217,"Напитки, нестеа, чай, черный, готовый к употреблению, лимонный",36,0.0,0.0,9.09
4218,"Алкогольный напиток, вино столовое, белое, пино блан",81,0.07,0.0,1.94
4219,"Алкогольный напиток, вино, столовое, белое, мускатное",82,0.07,0.0,5.23
4220,"Напитки газированные, виноградная содовая",43,0.0,0.0,11.2
